,Alias,Center Name,Accession,Title
328,DRR171508,TITECH,DRR171508,SAMD00164818
329,DRR171659,TITECH,DRR171659,SAMD00164969
330,DRR171894,TITECH,DRR171894,SAMD00114936
331,DRR171973,TITECH,DRR171973,SAMD00115042
332,DRR171982,TITECH,DRR171982,SAMD00115051
333,DRR171621,TITECH,DRR171621,SAMD00164931
334,DRR171933,TITECH,DRR171933,SAMD00114989
335,DRR171572,TITECH,DRR171572,SAMD00164882
336,DRR171853,TITECH,DRR171853,SAMD00114886
337,DRR171516,TITECH,DRR171516,SAMD00164826
338,DRR171946,TITECH,DRR171946,SAMD00115010
339,DRR171648,TITECH,DRR171648,SAMD00164958
340,DRR171541,TITECH,DRR171541,SAMD00164851
341,DRR171599,TITECH,DRR171599,SAMD00164909
342,DRR171512,TITECH,DRR171512,SAMD00164822
343,DRR172001,TITECH,DRR172001,SAMD00115070
344,DRR171700,TITECH,DRR171700,SAMD00165010
345,DRR171942,TITECH,DRR171942,SAMD00115004
346,DRR171628,TITECH,DRR171628,SAMD00164938
347,DRR171925,TITECH,DRR171925,SAMD00114979
348,DRR171761,TITECH,DRR171761,SAMD00114768
349,DRR171895,TITECH,DRR171895,SAMD00114937
350,DRR171991,TITECH,DRR171991,SAMD00115060
351,DRR171870,TITECH,DRR171870,SAMD00114906
352,DRR171891,TITECH,DRR171891,SAMD00114933
353,DRR171626,TITECH,DRR171626,SAMD00164936
354,DRR171584,TITECH,DRR171584,SAMD00164894
355,DRR171856,TITECH,DRR171856,SAMD00114889
356,DRR171460,TITECH,DRR171460,SAMD00164695
357,DRR171554,TITECH,DRR171554,SAMD00164864
358,DRR171595,TITECH,DRR171595,SAMD00164905
359,DRR171724,TITECH,DRR171724,SAMD00114718
360,DRR171804,TITECH,DRR171804,SAMD00114821
361,DRR171535,TITECH,DRR171535,SAMD00164845
362,DRR171618,TITECH,DRR171618,SAMD00164928
363,DRR171858,TITECH,DRR171858,SAMD00114891
364,DRR171843,TITECH,DRR171843,SAMD00114873
365,DRR171979,TITECH,DRR171979,SAMD00115048
366,DRR171504,TITECH,DRR171504,SAMD00164812
367,DRR171755,TITECH,DRR171755,SAMD00114757
368,DRR171992,TITECH,DRR171992,SAMD00115061
369,DRR171660,TITECH,DRR171660,SAMD00164970
370,DRR171835,TITECH,DRR171835,SAMD00114861
371,DRR171783,TITECH,DRR171783,SAMD00114796
372,DRR171825,TITECH,DRR171825,SAMD00114850
373,DRR171947,TITECH,DRR171947,SAMD00115011
374,DRR171690,TITECH,DRR171690,SAMD00165000
375,DRR171555,TITECH,DRR171555,SAMD00164865
376,DRR171544,TITECH,DRR171544,SAMD00164854
377,DRR171471,TITECH,DRR171471,SAMD00164744
378,DRR171697,TITECH,DRR171697,SAMD00165007
379,DRR171852,TITECH,DRR171852,SAMD00114885
380,DRR171795,TITECH,DRR171795,SAMD00114811
381,DRR171483,TITECH,DRR171483,SAMD00164767
382,DRR171635,TITECH,DRR171635,SAMD00164945
383,DRR171859,TITECH,DRR171859,SAMD00114894
384,DRR171866,TITECH,DRR171866,SAMD00114902
385,DRR171477,TITECH,DRR171477,SAMD00164756
386,DRR171735,TITECH,DRR171735,SAMD00114733
387,DRR171966,TITECH,DRR171966,SAMD00115034
388,DRR172003,TITECH,DRR172003,SAMD00115072
389,DRR171844,TITECH,DRR171844,SAMD00114875
390,DRR171490,TITECH,DRR171490,SAMD00164777
391,DRR171872,TITECH,DRR171872,SAMD00114908
392,DRR171585,TITECH,DRR171585,SAMD00164895
393,DRR172019,TITECH,DRR172019,SAMD00115088
394,DRR171627,TITECH,DRR171627,SAMD00164937
395,DRR171612,TITECH,DRR171612,SAMD00164922
396,DRR171850,TITECH,DRR171850,SAMD00114882
397,DRR171582,TITECH,DRR171582,SAMD00164892
398,DRR171743,TITECH,DRR171743,SAMD00114743
399,DRR171683,TITECH,DRR171683,SAMD00164993
400,DRR171822,TITECH,DRR171822,SAMD00114846
401,DRR172010,TITECH,DRR172010,SAMD00115079
402,DRR171538,TITECH,DRR171538,SAMD00164848
403,DRR171696,TITECH,DRR171696,SAMD00165006
404,DRR171502,TITECH,DRR171502,SAMD00164808
405,DRR171607,TITECH,DRR171607,SAMD00164917
406,DRR171539,TITECH,DRR171539,SAMD00164849
407,DRR171797,TITECH,DRR171797,SAMD00114814
408,DRR171951,TITECH,DRR171951,SAMD00115016
409,DRR171570,TITECH,DRR171570,SAMD00164880
410,DRR171604,TITECH,DRR171604,SAMD00164914
411,DRR172006,TITECH,DRR172006,SAMD00115075
412,DRR171639,TITECH,DRR171639,SAMD00164949
413,DRR171787,TITECH,DRR171787,SAMD00114801
414,DRR171586,TITECH,DRR171586,SAMD00164896
415,DRR171497,TITECH,DRR171497,SAMD00164803
416,DRR171467,TITECH,DRR171467,SAMD00164727
417,DRR171486,TITECH,DRR171486,SAMD00164772
418,DRR171722,TITECH,DRR171722,SAMD00165032
419,DRR171537,TITECH,DRR171537,SAMD00164847
420,DRR171597,TITECH,DRR171597,SAMD00164907
421,DRR171596,TITECH,DRR171596,SAMD00164906
422,DRR171718,TITECH,DRR171718,SAMD00165028
423,DRR171519,TITECH,DRR171519,SAMD00164829
424,DRR171476,TITECH,DRR171476,SAMD00164755
425,DRR171790,TITECH,DRR171790,SAMD00114806
426,DRR171955,TITECH,DRR171955,SAMD00115021
427,DRR171989,TITECH,DRR171989,SAMD00115058
428,DRR171882,TITECH,DRR171882,SAMD00114922
429,DRR171757,TITECH,DRR171757,SAMD00114759
430,DRR171912,TITECH,DRR171912,SAMD00114960
431,DRR171482,TITECH,DRR171482,SAMD00164765
432,DRR171667,TITECH,DRR171667,SAMD00164977
433,DRR171923,TITECH,DRR171923,SAMD00114976
434,DRR173016,TITECH,DRR173016,SAMD00136648
435,DRR171954,TITECH,DRR171954,SAMD00115019
436,DRR171662,TITECH,DRR171662,SAMD00164972
437,DRR171601,TITECH,DRR171601,SAMD00164911
438,DRR171889,TITECH,DRR171889,SAMD00114930
439,DRR171892,TITECH,DRR171892,SAMD00114934
440,DRR171793,TITECH,DRR171793,SAMD00114809
441,DRR171890,TITECH,DRR171890,SAMD00114932
442,DRR171988,TITECH,DRR171988,SAMD00115057
443,DRR171906,TITECH,DRR171906,SAMD00114951
444,DRR172011,TITECH,DRR172011,SAMD00115080
445,DRR171640,TITECH,DRR171640,SAMD00164950
446,DRR171900,TITECH,DRR171900,SAMD00114943
447,DRR171744,TITECH,DRR171744,SAMD00114744
448,DRR171899,TITECH,DRR171899,SAMD00114942
449,DRR171664,TITECH,DRR171664,SAMD00164974
450,DRR171705,TITECH,DRR171705,SAMD00165015
451,DRR171967,TITECH,DRR171967,SAMD00115036
452,DRR172009,TITECH,DRR172009,SAMD00115078
453,DRR171970,TITECH,DRR171970,SAMD00115039
454,DRR171916,TITECH,DRR171916,SAMD00114965
455,DRR171873,TITECH,DRR171873,SAMD00114909
456,DRR171622,TITECH,DRR171622,SAMD00164932
457,DRR171484,TITECH,DRR171484,SAMD00164769
458,DRR171884,TITECH,DRR171884,SAMD00114924
459,DRR172018,TITECH,DRR172018,SAMD00115087
460,DRR171709,TITECH,DRR171709,SAMD00165019
461,DRR171642,TITECH,DRR171642,SAMD00164952
462,DRR171986,TITECH,DRR171986,SAMD00115055
463,DRR171686,TITECH,DRR171686,SAMD00164996
464,DRR171495,TITECH,DRR171495,SAMD00164791
465,DRR171633,TITECH,DRR171633,SAMD00164943
466,DRR171517,TITECH,DRR171517,SAMD00164827
467,DRR171767,TITECH,DRR171767,SAMD00114775
468,DRR171862,TITECH,DRR171862,SAMD00114898
469,DRR171712,TITECH,DRR171712,SAMD00165022
470,DRR171773,TITECH,DRR171773,SAMD00114785
471,DRR171920,TITECH,DRR171920,SAMD00114972
472,DRR171789,TITECH,DRR171789,SAMD00114804
473,DRR171971,TITECH,DRR171971,SAMD00115040
474,DRR171902,TITECH,DRR171902,SAMD00114945
475,DRR171924,TITECH,DRR171924,SAMD00114978
476,DRR171701,TITECH,DRR171701,SAMD00165011
477,DRR171842,TITECH,DRR171842,SAMD00114872
478,DRR171937,TITECH,DRR171937,SAMD00114993
479,DRR171638,TITECH,DRR171638,SAMD00164948
480,DRR171489,TITECH,DRR171489,SAMD00164776
481,DRR171693,TITECH,DRR171693,SAMD00165003
482,DRR171936,TITECH,DRR171936,SAMD00114992
483,DRR171764,TITECH,DRR171764,SAMD00114772
484,DRR171658,TITECH,DRR171658,SAMD00164968
485,DRR171551,TITECH,DRR171551,SAMD00164861
486,DRR171591,TITECH,DRR171591,SAMD00164901
487,DRR171965,TITECH,DRR171965,SAMD00115033
488,DRR171550,TITECH,DRR171550,SAMD00164860
489,DRR171997,TITECH,DRR171997,SAMD00115066
490,DRR171803,TITECH,DRR171803,SAMD00114820
491,DRR171629,TITECH,DRR171629,SAMD00164939
492,DRR171758,TITECH,DRR171758,SAMD00114762
493,DRR171692,TITECH,DRR171692,SAMD00165002
494,DRR172000,TITECH,DRR172000,SAMD00115069
495,DRR172020,TITECH,DRR172020,SAMD00115089
496,DRR171827,TITECH,DRR171827,SAMD00114852
497,DRR171867,TITECH,DRR171867,SAMD00114903
498,DRR171932,TITECH,DRR171932,SAMD00114988
499,DRR171772,TITECH,DRR171772,SAMD00114784
500,DRR171651,TITECH,DRR171651,SAMD00164961
501,DRR171980,TITECH,DRR171980,SAMD00115049
502,DRR171566,TITECH,DRR171566,SAMD00164876
503,DRR171505,TITECH,DRR171505,SAMD00164813
504,DRR171520,TITECH,DRR171520,SAMD00164830
505,DRR172013,TITECH,DRR172013,SAMD00115082
506,DRR171857,TITECH,DRR171857,SAMD00114890
507,DRR171547,TITECH,DRR171547,SAMD00164857
508,DRR171632,TITECH,DRR171632,SAMD00164942
509,DRR171828,TITECH,DRR171828,SAMD00114853
510,DRR171609,TITECH,DRR171609,SAMD00164919
511,DRR171869,TITECH,DRR171869,SAMD00114905
512,DRR172002,TITECH,DRR172002,SAMD00115071
513,DRR171782,TITECH,DRR171782,SAMD00114795
514,DRR171588,TITECH,DRR171588,SAMD00164898
